neighborhood,year,month_number,permits_count,total_construction_value,avg_construction_value,n_properties,avg_assessed_value
ALBERTA AVENUE,2020,6,4,35000.0,17500.0,2606.0,302606.67689946276
ALBERTA AVENUE,2020,7,2,173000.0,86500.0,2606.0,302606.67689946276
ALBERTA AVENUE,2020,8,6,605000.0,605000.0,2606.0,302606.67689946276
ALBERTA AVENUE,2020,9,9,491554.0,98310.8,2606.0,302606.67689946276
ALBERTA AVENUE,2020,10,7,550.0,550.0,2606.0,302606.67689946276
ALBERTA AVENUE,2020,11,4,263160.0,263160.0,2606.0,302606.67689946276
ALBERTA AVENUE,2020,12,10,73000.0,10428.57142857143,2606.0,302606.67689946276
ALBERTA AVENUE,2021,1,5,622040.0,155510.0,2606.0,302606.67689946276
ALBERTA AVENUE,2021,2,8,288040.0,72010.0,2606.0,302606.67689946276
ALBERTA AVENUE,2021,3,8,296700.0,98900.0,2606.0,302606.67689946276
ALBERTA AVENUE,2021,4,8,125000.0,41666.666666666664,2606.0,302606.67689946276
ALBERTA AVENUE,2021,5,4,563040.0,187680.0,2606.0,302606.67689946276
ALBERTA AVENUE,2021,6,11,685040.0,228346.66666666666,2606.0,302606.67689946276
ALBERTA AVENUE,2021,7,12,793160.0,132193.33333333334,2606.0,302606.67689946276
ALBERTA AVENUE,2021,8,12,765240.0,153048.0,2606.0,302606.67689946276
ALBERTA AVENUE,2021,9,8,52624.0,26312.0,2606.0,302606.67689946276
ALBERTA AVENUE,2021,10,8,572000.0,95333.33333333333,2606.0,302606.67689946276
ALBERTA AVENUE,2021,11,5,50000.0,50000.0,2606.0,302606.67689946276
ALBERTA AVENUE,2021,12,5,921880.0,184376.0,2606.0,302606.67689946276
ALBERTA AVENUE,2022,1,6,269000.0,89666.66666666667,2606.0,302606.67689946276
ALBERTA AVENUE,2022,2,6,286000.0,95333.33333333333,2606.0,302606.67689946276
ALBERTA AVENUE,2022,3,7,166125.0,41531.25,2606.0,302606.67689946276
ALBERTA AVENUE,2022,4,8,584480.0,146120.0,2606.0,302606.67689946276
ALBERTA AVENUE,2022,5,10,688000.0,229333.33333333334,2606.0,302606.67689946276
ALBERTA AVENUE,2022,6,10,308248.0,77062.0,2606.0,302606.67689946276
ALBERTA AVENUE,2022,7,4,163876.0,81938.0,2606.0,302606.67689946276
ALBERTA AVENUE,2022,8,11,479125.0,119781.25,2606.0,302606.67689946276
ALBERTA AVENUE,2022,9,6,420000.0,210000.0,2606.0,302606.67689946276
ALBERTA AVENUE,2022,10,11,1247000.0,207833.33333333334,2606.0,302606.67689946276
ALBERTA AVENUE,2022,11,11,553750.0,184583.33333333334,2606.0,302606.67689946276
ALBERTA AVENUE,2022,12,2,25000.0,25000.0,2606.0,302606.67689946276
ALBERTA AVENUE,2023,1,3,0.0,,2606.0,302606.67689946276
ALBERTA AVENUE,2023,2,3,904125.0,301375.0,2606.0,302606.67689946276
ALBERTA AVENUE,2023,3,5,299000.0,99666.66666666667,2606.0,302606.67689946276
ALBERTA AVENUE,2023,4,5,317000.0,79250.0,2606.0,302606.67689946276
ALBERTA AVENUE,2023,5,12,478257.0,53139.666666666664,2606.0,302606.67689946276
ALBERTA AVENUE,2023,6,12,283925.0,56785.0,2606.0,302606.67689946276
ALBERTA AVENUE,2023,7,5,127200.0,63600.0,2606.0,302606.67689946276
ALBERTA AVENUE,2023,8,7,488005.0,122001.25,2606.0,302606.67689946276
ALBERTA AVENUE,2023,9,11,641624.0,91660.57142857143,2606.0,302606.67689946276
ALBERTA AVENUE,2023,10,7,703500.0,140700.0,2606.0,302606.67689946276
ALBERTA AVENUE,2023,11,5,944500.0,188900.0,2606.0,302606.67689946276
ALBERTA AVENUE,2023,12,7,64999.0,16249.75,2606.0,302606.67689946276
ALBERTA AVENUE,2024,1,5,356555.0,89138.75,2606.0,302606.67689946276
ALBERTA AVENUE,2024,2,4,25000.0,25000.0,2606.0,302606.67689946276
ALBERTA AVENUE,2024,3,2,0.0,,2606.0,302606.67689946276
ALBERTA AVENUE,2024,4,10,925425.0,102825.0,2606.0,302606.67689946276
ALBERTA AVENUE,2024,5,8,344800.0,86200.0,2606.0,302606.67689946276
ALBERTA AVENUE,2024,6,8,443750.0,147916.66666666666,2606.0,302606.67689946276
ALBERTA AVENUE,2024,7,10,401500.0,133833.33333333334,2606.0,302606.67689946276
ALBERTA AVENUE,2024,8,11,8113380.0,2028345.0,2606.0,302606.67689946276
ALBERTA AVENUE,2024,9,10,1229251.0,204875.16666666666,2606.0,302606.67689946276
ALBERTA AVENUE,2024,10,9,167503.0,27917.166666666668,2606.0,302606.67689946276
ALBERTA AVENUE,2024,11,11,1087325.0,155332.14285714287,2606.0,302606.67689946276
ALBERTA AVENUE,2024,12,7,704500.0,140900.0,2606.0,302606.67689946276
ALBERTA AVENUE,2025,1,7,658851.0,109808.5,2606.0,302606.67689946276
ALBERTA AVENUE,2025,2,5,441000.0,147000.0,2606.0,302606.67689946276
ALBERTA AVENUE,2025,3,8,1247125.0,207854.16666666666,2606.0,302606.67689946276
ALBERTA AVENUE,2025,4,11,806000.0,115142.85714285714,2606.0,302606.67689946276
ALBERTA AVENUE,2025,5,7,325600.0,162800.0,2606.0,302606.67689946276
ALBERTA AVENUE,2025,6,6,656200.0,218733.33333333334,2606.0,302606.67689946276
ALBERTA AVENUE,2025,7,10,1178770.0,196461.66666666666,2606.0,302606.67689946276
ALBERTA AVENUE,2025,8,9,161144.0,40286.0,2606.0,302606.67689946276
ALBERTA AVENUE,2025,9,10,710625.0,177656.25,2606.0,302606.67689946276
ALBERTA AVENUE,2025,10,5,525875.0,525875.0,2606.0,302606.67689946276
ALBERTA AVENUE,2025,11,2,39000.0,19500.0,2606.0,302606.67689946276
ALBERTA AVENUE,2025,12,3,575001.0,191667.0,2606.0,302606.67689946276
ALBERTA PARK INDUSTRIAL,2019,1,2,251000.0,125500.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2019,5,1,175000.0,175000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2019,7,2,2080000.0,1040000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2019,9,1,91000.0,91000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2019,11,1,513646.0,513646.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2020,2,1,50000.0,50000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2020,6,1,100000.0,100000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2020,9,1,25000.0,25000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2021,1,4,327500.0,81875.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2021,3,2,385957.0,192978.5,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2021,4,2,5000.0,2500.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2021,7,1,90000.0,90000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2021,9,3,125000.0,41666.666666666664,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2021,12,3,1220500.0,406833.3333333333,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2022,3,1,35000.0,35000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2022,4,1,130000.0,130000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2022,6,2,30000.0,15000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2022,7,1,50000.0,50000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2022,8,1,268331.0,268331.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2022,9,1,1500.0,1500.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2022,12,1,150000.0,150000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2023,2,1,69000.0,69000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2023,6,1,120000.0,120000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2023,8,1,130000.0,130000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2023,10,1,10000.0,10000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2024,5,2,41850.0,20925.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2024,6,2,22000.0,11000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2024,7,1,10000.0,10000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2024,9,1,65000.0,65000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2024,10,1,10000.0,10000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2025,1,1,82000.0,82000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2025,5,1,97100.0,97100.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2025,6,1,200000.0,200000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2025,7,2,110000.0,55000.0,74.0,3308966.2162162163
ALBERTA PARK INDUSTRIAL,2025,9,1,85818.0,85818.0,74.0,3308966.2162162163
ALCES,2022,6,1,0.0,,571.0,483042.9071803853
ALCES,2023,11,7,1785000.0,255000.0,571.0,483042.9071803853
ALCES,2023,12,7,2094875.0,299267.85714285716,571.0,483042.9071803853
ALCES,2024,1,24,6892750.0,299684.7826086957,571.0,483042.9071803853
ALCES,2024,2,29,7030500.0,242431.0344827586,571.0,483042.9071803853
ALCES,2024,3,28,6641375.0,237191.9642857143,571.0,483042.9071803853
ALCES,2024,4,14,3484250.0,268019.23076923075,571.0,483042.9071803853
ALCES,2024,5,40,8647375.0,221727.5641025641,571.0,483042.9071803853
ALCES,2024,6,27,7826750.0,301028.8461538461,571.0,483042.9071803853
ALCES,2024,7,25,5471750.0,227989.58333333334,571.0,483042.9071803853
ALCES,2024,8,40,9959875.0,255381.41025641025,571.0,483042.9071803853
ALCES,2024,9,21,6058750.0,302937.5,571.0,483042.9071803853
ALCES,2024,10,28,7131000.0,285240.0,571.0,483042.9071803853
ALCES,2024,11,33,6961625.0,224568.5483870968,571.0,483042.9071803853
ALCES,2024,12,12,1862000.0,169272.72727272726,571.0,483042.9071803853
ALCES,2025,1,18,4319500.0,269968.75,571.0,483042.9071803853
ALCES,2025,2,13,2534000.0,230363.63636363635,571.0,483042.9071803853
ALCES,2025,3,71,11996250.0,222152.77777777778,571.0,483042.9071803853
ALCES,2025,4,84,14332375.0,223943.359375,571.0,483042.9071803853
ALCES,2025,5,72,17525500.0,265537.8787878788,571.0,483042.9071803853
ALCES,2025,6,62,16510875.0,323742.64705882355,571.0,483042.9071803853
ALCES,2025,7,48,9665500.0,235743.9024390244,571.0,483042.9071803853
ALCES,2025,8,28,7202700.0,266766.6666666667,571.0,483042.9071803853
ALCES,2025,9,21,5341375.0,267068.75,571.0,483042.9071803853
ALCES,2025,10,30,6038245.0,262532.39130434784,571.0,483042.9071803853
ALCES,2025,11,38,7414375.0,255668.10344827586,571.0,483042.9071803853
ALCES,2025,12,34,7422625.0,239439.51612903227,571.0,483042.9071803853
ALDERGROVE,2019,1,1,500.0,500.0,1630.0,370523.3128834356
ALDERGROVE,2019,2,1,100.0,100.0,1630.0,370523.3128834356
ALDERGROVE,2019,3,1,392.0,392.0,1630.0,370523.3128834356
ALDERGROVE,2019,5,1,4000.0,4000.0,1630.0,370523.3128834356
ALDERGROVE,2019,6,1,0.0,,1630.0,370523.3128834356
ALDERGROVE,2019,7,1,0.0,,1630.0,370523.3128834356
ALDERGROVE,2019,8,1,0.0,,1630.0,370523.3128834356
ALDERGROVE,2019,9,1,0.0,,1630.0,370523.3128834356
ALDERGROVE,2019,10,3,5000.0,5000.0,1630.0,370523.3128834356
ALDERGROVE,2019,11,1,0.0,,1630.0,370523.3128834356
ALDERGROVE,2020,6,1,0.0,,1630.0,370523.3128834356
ALDERGROVE,2020,7,1,18700.0,18700.0,1630.0,370523.3128834356
ALDERGROVE,2020,10,1,70000.0,70000.0,1630.0,370523.3128834356
ALDERGROVE,2020,11,2,3000.0,3000.0,1630.0,370523.3128834356
ALDERGROVE,2021,3,2,25000.0,25000.0,1630.0,370523.3128834356
ALDERGROVE,2021,4,1,1300.0,1300.0,1630.0,370523.3128834356
ALDERGROVE,2021,5,2,0.0,,1630.0,370523.3128834356
ALDERGROVE,2021,6,2,7600.0,7600.0,1630.0,370523.3128834356
ALDERGROVE,2021,7,1,0.0,,1630.0,370523.3128834356
ALDERGROVE,2021,8,1,18000.0,18000.0,1630.0,370523.3128834356
ALDERGROVE,2021,9,1,0.0,,1630.0,370523.3128834356
ALDERGROVE,2021,10,1,5000.0,5000.0,1630.0,370523.3128834356
ALDERGROVE,2021,11,2,71800.0,35900.0,1630.0,370523.3128834356
ALDERGROVE,2022,3,1,0.0,,1630.0,370523.3128834356
ALDERGROVE,2022,4,1,0.0,,1630.0,370523.3128834356
ALDERGROVE,2022,5,2,0.0,,1630.0,370523.3128834356
ALDERGROVE,2022,6,1,20000.0,20000.0,1630.0,370523.3128834356
ALDERGROVE,2022,7,1,0.0,,1630.0,370523.3128834356
ALDERGROVE,2022,8,1,0.0,,1630.0,370523.3128834356
ALDERGROVE,2022,9,2,0.0,,1630.0,370523.3128834356
ALDERGROVE,2022,10,2,0.0,,1630.0,370523.3128834356
ALDERGROVE,2022,11,7,81000.0,27000.0,1630.0,370523.3128834356
ALDERGROVE,2022,12,1,0.0,,1630.0,370523.3128834356
ALDERGROVE,2023,1,1,0.0,,1630.0,370523.3128834356
ALDERGROVE,2023,3,2,40000.0,40000.0,1630.0,370523.3128834356
ALDERGROVE,2023,4,1,23000.0,23000.0,1630.0,370523.3128834356
ALDERGROVE,2023,5,1,0.0,,1630.0,370523.3128834356
ALDERGROVE,2023,6,1,0.0,,1630.0,370523.3128834356
ALDERGROVE,2023,7,3,10000.0,10000.0,1630.0,370523.3128834356
ALDERGROVE,2023,8,5,6000.0,6000.0,1630.0,370523.3128834356
ALDERGROVE,2023,9,3,0.0,,1630.0,370523.3128834356
ALDERGROVE,2023,10,3,100000.0,100000.0,1630.0,370523.3128834356
ALDERGROVE,2023,12,1,60000.0,60000.0,1630.0,370523.3128834356
ALDERGROVE,2024,2,3,90000.0,90000.0,1630.0,370523.3128834356
ALDERGROVE,2024,3,4,3000.0,1000.0,1630.0,370523.3128834356
ALDERGROVE,2024,4,8,30000.0,15000.0,1630.0,370523.3128834356
ALDERGROVE,2024,5,2,4100600.0,2050300.0,1630.0,370523.3128834356
ALDERGROVE,2024,6,4,750.0,750.0,1630.0,370523.3128834356
ALDERGROVE,2024,7,3,0.0,,1630.0,370523.3128834356
ALDERGROVE,2024,8,4,207875.0,207875.0,1630.0,370523.3128834356
ALDERGROVE,2024,9,3,3960000.0,3960000.0,1630.0,370523.3128834356
ALDERGROVE,2024,10,2,0.0,,1630.0,370523.3128834356
ALDERGROVE,2024,11,1,35000.0,35000.0,1630.0,370523.3128834356
ALDERGROVE,2024,12,1,0.0,,1630.0,370523.3128834356
ALDERGROVE,2025,1,3,102125.0,34041.666666666664,1630.0,370523.3128834356
ALDERGROVE,2025,2,1,0.0,,1630.0,370523.3128834356
ALDERGROVE,2025,3,1,2000000.0,2000000.0,1630.0,370523.3128834356
ALDERGROVE,2025,4,1,25000.0,25000.0,1630.0,370523.3128834356
ALDERGROVE,2025,5,1,0.0,,1630.0,370523.3128834356
ALDERGROVE,2025,7,4,0.0,,1630.0,370523.3128834356
ALDERGROVE,2025,8,6,155000.0,77500.0,1630.0,370523.3128834356
ALDERGROVE,2025,9,3,85000.0,42500.0,1630.0,370523.3128834356
ALLARD,2019,1,22,4658355.0,232917.75,3171.0,431443.5509303059
ALLARD,2019,2,10,1578368.0,197296.0,3171.0,431443.5509303059
ALLARD,2019,3,17,4903405.0,306462.8125,3171.0,431443.5509303059
ALLARD,2019,4,31,19090680.0,707062.2222222222,3171.0,431443.5509303059
ALLARD,2019,5,22,3294925.0,173417.1052631579,3171.0,431443.5509303059
ALLARD,2019,6,16,2673025.0,190930.35714285713,3171.0,431443.5509303059
ALLARD,2019,7,23,1294600.0,86306.66666666667,3171.0,431443.5509303059
ALLARD,2019,8,10,1368210.0,195458.57142857142,3171.0,431443.5509303059
ALLARD,2019,9,18,1310967.0,109247.25,3171.0,431443.5509303059
ALLARD,2019,10,19,1914615.0,174055.9090909091,3171.0,431443.5509303059
ALLARD,2019,11,13,1450670.0,145067.0,3171.0,431443.5509303059
ALLARD,2019,12,7,850150.0,141691.66666666666,3171.0,431443.5509303059
ALLARD,2020,1,6,1533325.0,255554.16666666666,3171.0,431443.5509303059
ALLARD,2020,2,13,1100170.0,91680.83333333333,3171.0,431443.5509303059
ALLARD,2020,3,15,2244364.0,172643.38461538462,3171.0,431443.5509303059
ALLARD,2020,4,4,576640.0,192213.33333333334,3171.0,431443.5509303059
ALLARD,2020,5,12,793430.0,99178.75,3171.0,431443.5509303059
ALLARD,2020,6,14,2922440.0,265676.36363636365,3171.0,431443.5509303059
ALLARD,2020,7,16,780135.0,70921.36363636363,3171.0,431443.5509303059
ALLARD,2020,8,8,48000.0,12000.0,3171.0,431443.5509303059
ALLARD,2020,9,7,230240.0,76746.66666666667,3171.0,431443.5509303059
ALLARD,2020,10,11,442560.0,63222.857142857145,3171.0,431443.5509303059
ALLARD,2020,11,14,908290.0,90829.0,3171.0,431443.5509303059
ALLARD,2020,12,5,63500.0,12700.0,3171.0,431443.5509303059
ALLARD,2021,1,8,769740.0,96217.5,3171.0,431443.5509303059
ALLARD,2021,2,4,377380.0,94345.0,3171.0,431443.5509303059
ALLARD,2021,3,9,599760.0,74970.0,3171.0,431443.5509303059
ALLARD,2021,4,7,799980.0,159996.0,3171.0,431443.5509303059
ALLARD,2021,5,8,738240.0,147648.0,3171.0,431443.5509303059
ALLARD,2021,6,16,708340.0,64394.545454545456,3171.0,431443.5509303059
ALLARD,2021,7,8,386420.0,77284.0,3171.0,431443.5509303059
ALLARD,2021,8,8,389586.0,97396.5,3171.0,431443.5509303059
ALLARD,2021,9,10,129000.0,16125.0,3171.0,431443.5509303059
ALLARD,2021,10,8,103114.0,20622.8,3171.0,431443.5509303059
ALLARD,2021,11,4,5000.0,5000.0,3171.0,431443.5509303059
ALLARD,2021,12,3,68000.0,22666.666666666668,3171.0,431443.5509303059
ALLARD,2022,1,10,1574460.0,196807.5,3171.0,431443.5509303059
ALLARD,2022,2,6,66182.0,11030.333333333334,3171.0,431443.5509303059
ALLARD,2022,3,5,1008929.0,201785.8,3171.0,431443.5509303059
ALLARD,2022,4,5,46000.0,15333.333333333334,3171.0,431443.5509303059
ALLARD,2022,5,10,498400.0,83066.66666666667,3171.0,431443.5509303059
ALLARD,2022,6,10,913875.0,130553.57142857143,3171.0,431443.5509303059
ALLARD,2022,7,6,760250.0,190062.5,3171.0,431443.5509303059
ALLARD,2022,8,7,870125.0,217531.25,3171.0,431443.5509303059
ALLARD,2022,9,6,90000.0,22500.0,3171.0,431443.5509303059
ALLARD,2022,10,7,58500.0,29250.0,3171.0,431443.5509303059
ALLARD,2022,11,7,46300.0,15433.333333333334,3171.0,431443.5509303059
ALLARD,2022,12,5,51000.0,12750.0,3171.0,431443.5509303059
ALLARD,2023,1,4,460550.0,153516.66666666666,3171.0,431443.5509303059
ALLARD,2023,2,5,1098125.0,219625.0,3171.0,431443.5509303059
ALLARD,2023,3,9,125000.0,25000.0,3171.0,431443.5509303059
ALLARD,2023,4,6,15000.0,15000.0,3171.0,431443.5509303059
ALLARD,2023,5,8,67000.0,16750.0,3171.0,431443.5509303059
ALLARD,2023,6,9,127000.0,25400.0,3171.0,431443.5509303059
ALLARD,2023,7,12,1077625.0,269406.25,3171.0,431443.5509303059
ALLARD,2023,8,12,279250.0,93083.33333333333,3171.0,431443.5509303059
ALLARD,2023,9,10,20000.0,20000.0,3171.0,431443.5509303059
ALLARD,2023,10,5,343125.0,343125.0,3171.0,431443.5509303059
ALLARD,2023,11,5,71519.0,17879.75,3171.0,431443.5509303059
ALLARD,2023,12,4,89000.0,22250.0,3171.0,431443.5509303059
ALLARD,2024,1,2,36000.0,18000.0,3171.0,431443.5509303059
ALLARD,2024,2,4,55000.0,27500.0,3171.0,431443.5509303059
ALLARD,2024,3,8,525875.0,105175.0,3171.0,431443.5509303059
ALLARD,2024,4,6,80000.0,16000.0,3171.0,431443.5509303059
ALLARD,2024,5,6,115000.0,23000.0,3171.0,431443.5509303059
ALLARD,2024,6,5,55000.0,27500.0,3171.0,431443.5509303059
ALLARD,2024,7,3,35000.0,17500.0,3171.0,431443.5509303059
ALLARD,2024,8,9,98000.0,14000.0,3171.0,431443.5509303059
ALLARD,2024,9,11,143000.0,35750.0,3171.0,431443.5509303059
ALLARD,2024,10,9,95350.0,23837.5,3171.0,431443.5509303059
ALLARD,2024,11,4,50000.0,25000.0,3171.0,431443.5509303059
